15:25:24.981640 IP 192.168.53.99 > 192.168.53.55: ICMP echo request, id 135, seq 1, length 64
15:25:24.984792 IP 192.168.53.55 > 192.168.53.99: ICMP echo reply, id 135, seq 1, length 64
15:25:25.983540 IP 192.168.53.99 > 192.168.53.55: ICMP echo request, id 135, seq 2, length 64
15:25:25.997156 IP 192.168.53.55 > 192.168.53.99: ICMP echo reply, id 135, seq 2, length 64
15:25:26.998370 IP 192.168.53.99 > 192.168.53.55: ICMP echo request, id 135, seq 3, length 64
15:25:27.012593 IP 192.168.53.55 > 192.168.53.99: ICMP echo reply, id 135, seq 3, length 64
15:25:27.998336 IP 192.168.53.99 > 192.168.53.55: ICMP echo request, id 135, seq 4, length 64
15:25:28.018006 IP 192.168.53.55 > 192.168.53.99: ICMP echo reply, id 135, seq 4, length 64
15:25:29.013918 IP 192.168.53.99 > 192.168.53.55: ICMP echo request, id 135, seq 5, length 64
15:25:29.031916 IP 192.168.53.55 > 192.168.53.99: ICMP echo reply, id 135, seq 5, length 64

